Plaza del Adelantado;Bajamar;Punta del Hidalgo;Ten-Bel;El Camisón;Los Cristianos;Martiánez;Playa de Mesa del Mar;Playa Jardín;San Marcos;Torviscas y Fañabé;Troya;Acantilados de los Gigantes;Auditorio de Tenerife;Basílica Nuestra Señora de la Candelaria;Parque del Drago;Parque Nacional del Teide;Barranco del Infierno;Rambla de Castro;Buenavista Golf;Centro de Golf Los Palos;Golf Costa Adeje;Golf del Sur;Golf Las Américas;Real Club de Golf de Tenerife;Tecina Golf;Abama Spa;Aequor spa;Aqua Club Termal;Centro de medicina Natural Océano;Caroli Health Club;Bahía del Duque Spa;Centro Wellness del Hotel Jardín Tropical;Spa Blue Sea Puerto Resort;Mare Nostrum Spa;Natural Wellness Spa;Riu Palace Body Love;Spa Atlantis;Bp San Felipe;Club Spa La Quinta Park;Spa Magek;Spa Royal Garden Villas;Spa Hotel Europe Villa Cortés;Spa Villalba;Thai Zen Space;Thalasso H10 Conquistador;Spa Nammu;The Oriental Spa Garden;Vitanova Spa Wellness;Centro Histórico de Santa Cruz de Tenerife;Centro Histórico de Garachico;Oficina de información turística Cabildo Aeropuerto Tenerife Sur;Oficina de información turística de Fañabé;Oficina de información turística de Icod de Los Vinos;Oficina de información turística del Médano;Oficina de información turística de Arona - Playa de las Américas;Oficina de información turística de Arona - Playa de las Vistas;Oficina de información turística de Plaza del Duque;Oficina de información turística Cabildo de Puerto de la Cruz;Oficina de información turística Cabildo Aeropuerto de Los Rodeos;Oficina de información turística de San Cristóbal de La Laguna;Oficina de información turística Cabildo Santa Cruz de Tenerife;Oficina de información turística de Costa Adeje - Troya;Centro Histórico de Adeje;Centro Histórico de Arona;Centro Histórico de Granadilla de Abona;Centro Histórico de Puerto de la Cruz;Centro Histórico de La Laguna;Centro Histórico de La Orotava;Caserío de Masca;Casa del Vino;Chinyero;Malpaís de Güímar;Montaña Roja y Montaña Pelada;Paisaje Lunar de Granadilla;Parque Natural de la Corona Forestal;Parque Rural de Anaga;Parque Rural de Teno;Aqualand Costa Adeje;Loro Parque;Parque Las Águilas-Jungle Park;Parque Marítimo César Manrique;Parque Etnográfico Pirámides de Güímar;PuebloChico;Siam Park;Abama;Amarilla Golf;Barakuda Diving Center;Blue Bottom Diving;Centro de Buceo Atlantik;Diversity-Escuela de Buceo;Centro de Buceo Ecosub Tenerife;Centro de Buceo el Cardumen;Marina de Santa Cruz;Marina de San Miguel;Charco de la Laja;Complejo Costa Martiánez;El Caletón;El Bollullo;El Duque;El Médano;El Socorro;La Arena;La Pinta;La Tejita;Las Teresitas;Las Vistas
Centro de medicina Natural Océano;22;5;3;73;72;71;36;38;40;58;71;70;100;31;41;55;86;94;39;77;67;77;65;68;25;239;91;70;69;0;73;74;68;36;71;71;74;66;37;33;67;74;72;89;71;72;73;36;73;35;60;61;71;56;62;71;69;71;41;25;24;35;70;75;74;68;41;24;36;96;26;108;47;69;98;124;65;90;69;42;72;30;71;35;68;89;66;77;70;40;70;39;40;41;70;45;38;58;41;73;65;44;92;71;66;46;70
Caroli Health Club;52;69;74;22;13;12;67;78;71;72;5;9;36;49;42;69;64;41;70;82;12;7;17;7;56;180;27;4;7;74;0;1;7;67;12;11;2;18;68;64;19;7;13;35;4;12;3;67;4;54;72;16;5;69;21;10;10;3;72;54;54;53;10;11;17;27;72;54;67;50;57;77;43;27;60;105;84;67;7;73;14;48;83;66;9;25;18;13;6;71;8;70;71;59;21;77;69;71;72;4;24;75;28;9;23;64;10
Bahía del Duque Spa;51;69;73;21;12;11;66;77;70;71;4;9;35;48;42;68;63;40;70;82;11;9;16;7;56;179;26;3;6;73;3;0;6;67;11;11;3;17;68;64;18;9;12;35;4;12;2;66;4;53;72;16;4;68;20;10;10;2;71;53;53;52;9;11;17;26;71;53;67;50;57;76;43;27;59;105;83;66;6;73;13;48;83;65;8;24;17;12;6;71;7;69;71;58;21;77;68;70;71;4;23;74;27;8;22;63;10
Centro Wellness del Hotel Jardín Tropical;49;66;71;18;8;8;64;75;68;72;5;3;36;46;39;68;62;38;67;82;9;13;14;4;53;176;26;6;3;70;8;9;0;64;7;7;9;14;65;61;16;9;8;33;6;8;8;63;8;51;72;13;5;69;18;6;7;7;69;51;51;50;4;11;15;24;69;50;64;50;54;77;40;24;57;105;80;66;2;70;11;45;81;62;3;25;15;13;4;68;1;66;68;56;18;73;66;71;69;8;21;71;28;2;20;60;6
Spa Blue Sea Puerto Resort;25;38;42;71;70;69;7;39;9;33;69;68;84;29;39;30;61;93;14;52;66;75;63;66;20;237;92;69;67;42;71;72;67;0;69;69;72;64;6;14;65;72;70;88;69;70;71;4;71;33;35;59;69;31;61;69;68;70;11;23;26;33;69;73;73;66;11;26;12;71;16;83;45;67;96;99;63;65;67;13;70;28;56;10;66;90;64;75;68;11;68;7;11;39;68;20;8;33;15;71;64;19;81;69;64;44;68
Mare Nostrum Spa;51;68;73;20;0;5;66;77;70;76;11;6;40;48;41;73;62;38;69;87;11;17;16;7;55;173;31;10;9;72;13;14;8;66;0;2;13;16;67;63;18;14;4;33;11;4;13;65;12;53;77;15;11;73;20;5;6;11;71;53;53;52;7;15;15;26;71;52;66;55;56;81;42;26;59;110;82;71;9;72;12;47;82;64;7;29;17;17;10;70;10;68;70;58;20;75;68;75;71;13;23;73;32;10;22;62;3
Natural Wellness Spa;50;67;72;20;3;5;65;76;69;74;9;4;38;47;40;71;62;38;68;85;10;16;15;5;54;173;29;9;7;72;11;12;6;65;2;0;12;16;66;62;17;12;1;33;9;0;11;65;11;52;75;14;9;71;19;2;6;10;70;52;52;51;4;13;15;25;70;52;66;53;55;79;41;25;58;108;82;69;8;72;11;46;81;64;6;27;16;15;8;69;8;68;69;57;19;74;67;73;70;11;22;73;30;9;21;62;4
Riu Palace Body Love;52;70;74;22;13;13;67;78;71;72;6;10;36;49;43;69;65;41;71;83;12;8;17;8;57;180;27;4;7;74;2;2;8;68;13;12;0;18;69;65;19;8;13;36;5;13;3;67;5;55;73;17;6;69;22;11;11;4;72;54;54;53;10;12;18;27;73;54;68;51;58;77;44;28;60;106;84;67;8;74;14;49;84;66;9;25;18;13;7;72;9;70;72;59;22;78;69;71;72;5;25;75;28;9;23;64;11
Spa Atlantis;47;64;69;19;19;19;62;66;84;18;17;47;44;37;80;65;41;65;94;15;25;5;64;15;51;187;38;18;16;69;20;22;16;62;19;18;21;0;63;59;11;21;19;36;18;19;20;62;20;49;84;11;18;81;16;19;17;19;67;49;49;48;18;22;22;21;67;49;62;62;52;88;38;20;54;117;79;78;16;68;20;43;83;61;15;37;3;24;17;66;17;65;66;54;7;71;64;83;67;20;18;70;39;18;15;59;17
Bp San Felipe;31;40;69;68;67;0;37;9;30;67;66;82;26;37;28;59;90;12;50;63;73;61;61;17;235;89;66;65;40;69;70;64;5;67;67;69;61;12;0;63;70;68;86;67;67;69;4;68;23;32;57;67;28;58;67;65;67;11;20;23;30;66;71;70;63;11;23;10;68;14;29;43;64;94;96;61;63;64;13;68;26;54;7;63;88;62;73;66;11;66;7;11;37;65;18;8;31;26;68;61;16;79;67;61;41;66;36
Club Spa La Quinta Park;28;37;66;65;65;8;34;12;30;64;63;81;24;34;27;58;88;11;49;61;71;58;16;15;232;89;64;62;37;66;67;62;8;64;64;67;59;9;60;0;67;65;84;64;65;66;8;66;20;32;54;64;28;56;64;63;65;13;18;21;28;64;68;68;61;13;21;8;68;11;28;40;62;91;96;58;62;62;15;65;23;52;7;61;87;59;70;63;12;63;11;12;34;63;17;10;30;23;65;59;16;78;64;59;39;63;33
Spa Magek;50;70;20;20;20;63;74;67;85;19;18;48;45;38;81;66;42;66;95;16;26;5;10;52;187;39;19;17;69;21;22;17;63;20;19;22;6;64;60;22;0;20;37;19;20;21;62;21;48;85;12;19;82;14;19;18;20;68;50;50;49;19;23;23;22;68;49;63;63;53;79;39;15;55;118;79;79;17;69;20;44;84;61;16;38;6;25;18;67;18;65;67;55;10;72;65;83;44;20;13;70;40;19;11;59;18;65
Spa Royal Garden Villas;56;76;24;15;14;69;80;73;71;9;11;35;51;45;68;63;43;72;82;14;4;19;6;59;182;26;9;9;76;7;8;9;69;14;14;8;20;71;66;21;15;0;38;9;15;9;69;11;54;72;19;9;68;23;13;12;10;74;56;56;55;12;8;20;29;74;56;70;50;59;65;45;30;62;105;86;66;9;76;16;50;82;68;11;24;20;12;8;73;10;72;74;61;24;77;71;70;50;15;26;77;27;11;25;66;13;71
Spa Hotel Europe Villa Cortés;53;73;21;4;7;66;77;70;76;11;5;40;48;42;72;64;40;70;86;11;17;16;29;56;175;30;10;8;73;13;14;8;67;3;1;13;17;68;64;18;13;35;0;10;1;12;66;12;51;76;16;11;73;20;4;7;11;71;53;53;52;5;15;17;26;71;53;67;54;57;70;43;27;59;109;83;70;9;73;13;47;83;65;7;29;17;17;9;70;9;69;71;58;21;76;68;75;47;4;23;74;32;10;22;63;6;69
Spa Villalba;71;90;40;32;32;81;95;84;95;32;31;61;66;59;91;33;25;83;105;30;38;33;7;73;199;51;31;29;90;34;35;29;81;31;31;34;34;82;81;35;34;32;31;0;32;33;81;33;69;95;33;32;92;37;32;30;32;85;71;71;70;31;36;21;26;85;70;79;73;74;89;60;43;41;128;100;89;29;86;24;65;53;78;28;50;34;38;30;84;30;84;84;76;37;89;83;94;65;32;40;87;53;31;39;80;30;86
Thai Zen Space;53;73;21;12;11;66;77;70;72;4;9;36;48;42;69;64;40;70;83;11;11;16;5;56;179;27;3;6;73;5;6;6;66;11;11;6;17;68;64;18;10;12;35;12;0;5;66;2;51;73;16;4;69;20;10;9;1;71;53;53;52;9;11;17;26;71;53;67;51;57;66;43;27;59;106;83;67;6;73;13;47;84;65;8;25;17;13;6;70;7;69;71;58;21;78;68;71;47;12;23;74;28;8;22;63;10;69
Thalasso H10 Conquistador;51;68;72;20;5;6;65;76;69;75;10;4;39;47;41;72;63;39;69;85;11;16;15;5;55;174;30;9;8;72;12;13;7;66;4;1;12;16;67;63;17;12;1;34;10;0;11;65;11;53;76;15;10;72;20;3;7;10;70;52;52;51;5;14;16;25;71;52;66;53;56;80;42;26;58;109;82;70;8;72;12;47;82;64;6;28;16;16;9;70;8;68;70;57;20;75;67;74;70;11;23;73;31;9;21;62;5
Spa Nammu;52;69;74;21;13;12;67;78;71;72;5;9;36;49;42;68;64;41;70;82;12;9;17;7;56;180;26;4;7;74;3;4;7;67;12;11;3;18;68;64;19;9;13;35;4;12;0;67;4;54;72;16;5;69;21;10;10;3;72;54;54;53;10;11;17;27;72;54;67;50;57;77;43;27;60;105;84;67;7;73;14;48;83;66;9;25;18;13;6;71;8;70;71;59;21;77;69;71;72;4;24;75;28;9;23;64;10
The Oriental Spa Garden;21;34;39;68;66;66;4;35;5;29;65;64;80;25;36;26;58;89;10;48;62;72;59;62;16;233;88;65;63;38;67;68;63;2;66;65;68;60;3;10;61;68;66;84;65;66;67;0;67;30;31;55;65;27;57;65;64;66;8;19;22;29;65;69;69;62;8;22;8;67;12;79;42;63;92;95;59;61;63;10;66;24;52;6;62;86;60;71;64;8;64;4;7;35;64;16;5;30;11;67;60;15;77;65;60;40;64
Vitanova Spa Wellness;52;69;73;21;12;12;67;77;71;73;5;9;36;48;42;69;65;40;70;83;12;12;16;7;56;180;27;4;6;73;5;7;7;67;12;11;6;17;68;64;18;10;12;35;4;12;5;66;0;54;73;16;5;70;21;10;10;1;71;54;53;52;9;11;17;26;72;53;67;51;57;77;43;27;59;106;83;67;7;73;14;48;84;65;8;26;17;13;6;71;8;69;71;59;21;78;68;71;72;0;24;74;28;8;22;63;10
Centro Histórico de Santa Cruz de Tenerife;14;31;36;55;54;53;29;40;33;51;53;52;82;9;23;48;75;76;32;70;49;59;47;50;19;221;73;52;51;36;55;56;50;29;53;53;55;48;31;26;49;56;54;71;53;54;55;29;54;0;53;43;53;49;44;53;51;53;34;16;16;7;52;57;56;49;34;16;30;89;19;101;29;50;80;117;33;83;50;36;54;7;59;28;49;71;48;59;52;33;52;32;33;12;51;38;31;52;34;54;47;37;74;53;47;14;52
